timestamp_seconds,datetime_utc,latitude,longitude,altitude_m_agl,altitude_m_msl,heading_deg,pitch_deg,roll_deg,gimbal_pitch_deg,ground_speed_mps
20,2026-04-15T14:00:20Z,38.273169,-89.794775,39.90,189.90,271.21,-0.92,0.48,-46.57,10.81
21,2026-04-15T14:00:21Z,38.273178,-89.794889,40.41,190.41,271.21,-0.07,-1.68,-44.54,10.58
22,2026-04-15T14:00:22Z,38.273188,-89.795001,39.65,189.65,271.21,0.13,1.05,-43.73,10.45
23,2026-04-15T14:00:23Z,38.273191,-89.795118,41.08,191.08,271.21,-0.44,0.17,-43.52,10.10
24,2026-04-15T14:00:24Z,38.273189,-89.795230,40.60,190.60,271.21,-2.59,0.45,-44.77,9.79
25,2026-04-15T14:00:25Z,38.273184,-89.795340,40.30,190.30,271.21,0.78,-0.29,-46.48,9.60
26,2026-04-15T14:00:26Z,38.273195,-89.795465,39.63,189.63,271.21,0.73,-0.87,-44.60,10.21
27,2026-04-15T14:00:27Z,38.273202,-89.795587,40.19,190.19,276.51,3.40,-2.79,-44.30,10.00
28,2026-04-15T14:00:28Z,38.273200,-89.795686,40.95,190.95,357.70,3.36,-0.66,-44.65,10.00
29,2026-04-15T14:00:29Z,38.273288,-89.795697,40.03,190.03,357.70,0.30,-3.16,-43.00,9.89
30,2026-04-15T14:00:30Z,38.273381,-89.795674,39.50,189.50,357.70,4.75,-1.30,-46.50,10.12
31,2026-04-15T14:00:31Z,38.273467,-89.795693,40.35,190.35,357.70,-0.39,-2.40,-45.44,10.52
32,2026-04-15T14:00:32Z,38.273573,-89.795697,39.02,189.02,357.70,2.10,3.19,-44.44,9.99
33,2026-04-15T14:00:33Z,38.273655,-89.795722,39.58,189.58,357.70,0.75,0.87,-45.48,10.02
34,2026-04-15T14:00:34Z,38.273731,-89.795721,39.42,189.42,357.70,-3.47,-0.50,-44.55,10.26
35,2026-04-15T14:00:35Z,38.273845,-89.795716,40.50,190.50,357.70,-1.12,-1.01,-43.47,9.84
36,2026-04-15T14:00:36Z,38.273930,-89.795716,41.67,191.67,357.70,0.93,0.46,-45.22,9.99
37,2026-04-15T14:00:37Z,38.274032,-89.795709,39.30,189.30,357.70,0.64,1.17,-46.35,9.84
38,2026-04-15T14:00:38Z,38.274081,-89.795752,39.96,189.96,357.70,0.52,-1.15,-46.22,9.96
39,2026-04-15T14:00:39Z,38.274173,-89.795731,40.19,190.19,357.70,1.19,-0.29,-43.65,10.40
40,2026-04-15T14:00:40Z,38.274280,-89.795747,39.74,189.74,357.70,-3.25,0.23,-44.75,9.77
41,2026-04-15T14:00:41Z,38.274368,-89.795752,40.19,190.19,357.70,0.06,-0.76,-45.59,10.69
42,2026-04-15T14:00:42Z,38.274460,-89.795763,39.94,189.94,357.70,2.77,1.42,-43.97,10.02
43,2026-04-15T14:00:43Z,38.274544,-89.795746,39.43,189.43,357.70,0.63,-1.15,-43.00,10.12
44,2026-04-15T14:00:44Z,38.274646,-89.795780,40.28,190.28,357.70,0.00,0.70,-44.61,9.84
45,2026-04-15T14:00:45Z,38.274712,-89.795776,40.39,190.39,357.70,2.85,2.70,-47.06,10.52
46,2026-04-15T14:00:46Z,38.274827,-89.795789,40.81,190.81,357.70,-1.71,3.01,-44.36,10.10
47,2026-04-15T14:00:47Z,38.274893,-89.795769,39.63,189.63,357.70,-0.70,2.06,-46.42,10.04
48,2026-04-15T14:00:48Z,38.275003,-89.795756,39.59,189.59,357.70,0.30,-1.03,-44.35,10.08
49,2026-04-15T14:00:49Z,38.275091,-89.795792,40.88,190.88,357.70,-0.25,-0.96,-45.78,10.32
50,2026-04-15T14:00:50Z,38.275191,-89.795787,40.23,190.23,357.70,0.92,-0.17,-44.24,9.93
51,2026-04-15T14:00:51Z,38.275268,-89.795781,40.34,190.34,357.70,-1.29,-1.41,-45.74,9.95
52,2026-04-15T14:00:52Z,38.275350,-89.795785,39.98,189.98,357.70,3.42,0.04,-46.55,10.63
53,2026-04-15T14:00:53Z,38.275446,-89.795800,39.26,189.26,357.70,0.43,-0.69,-45.77,9.90
54,2026-04-15T14:00:54Z,38.275532,-89.795784,39.92,189.92,357.70,-0.56,1.43,-45.68,9.67
55,2026-04-15T14:00:55Z,38.275633,-89.795800,40.37,190.37,357.70,-0.83,1.70,-45.79,10.56
56,2026-04-15T14:00:56Z,38.275715,-89.795800,40.41,190.41,357.70,-1.79,0.84,-45.63,10.00
57,2026-04-15T14:00:57Z,38.275800,-89.795825,40.12,190.12,357.70,0.54,0.26,-45.58,9.15
58,2026-04-15T14:00:58Z,38.275908,-89.795816,39.70,189.70,357.70,1.04,-2.27,-45.33,9.73
59,2026-04-15T14:00:59Z,38.275983,-89.795826,40.11,190.11,357.70,1.70,0.34,-45.31,10.01
60,2026-04-15T14:01:00Z,38.276067,-89.795824,40.26,190.26,357.70,-1.12,0.04,-45.06,10.58
61,2026-04-15T14:01:01Z,38.276167,-89.795836,39.14,189.14,357.70,0.98,1.70,-42.75,10.33
62,2026-04-15T14:01:02Z,38.276255,-89.795841,40.00,190.00,357.70,-2.60,0.73,-46.47,10.78
63,2026-04-15T14:01:03Z,38.276325,-89.795869,39.31,189.31,357.70,-1.30,-0.34,-46.16,10.43
64,2026-04-15T14:01:04Z,38.276443,-89.795863,40.66,190.66,357.70,-1.15,0.18,-44.98,9.60
65,2026-04-15T14:01:05Z,38.276540,-89.795853,39.40,189.40,357.70,-0.86,1.09,-44.62,9.78
66,2026-04-15T14:01:06Z,38.276616,-89.795849,39.74,189.74,357.70,0.27,2.29,-45.10,9.95
67,2026-04-15T14:01:07Z,38.276704,-89.795876,40.34,190.34,357.70,0.52,-2.85,-43.96,9.76
68,2026-04-15T14:01:08Z,38.276785,-89.795878,40.53,190.53,357.70,-0.12,0.11,-46.00,9.47
69,2026-04-15T14:01:09Z,38.276899,-89.795856,39.01,189.01,357.70,1.21,-1.95,-45.39,9.42
70,2026-04-15T14:01:10Z,38.276978,-89.795870,39.89,189.89,357.70,-1.17,1.94,-45.50,10.04
71,2026-04-15T14:01:11Z,38.277070,-89.795888,40.05,190.05,357.70,-0.24,-1.52,-44.20,9.93
72,2026-04-15T14:01:12Z,38.277169,-89.795884,40.37,190.37,357.70,1.39,0.46,-44.79,10.34
73,2026-04-15T14:01:13Z,38.277254,-89.795891,39.51,189.51,357.70,-2.83,-0.01,-44.59,10.01
74,2026-04-15T14:01:14Z,38.277347,-89.795895,40.46,190.46,357.70,-1.54,-2.12,-45.97,10.00
75,2026-04-15T14:01:15Z,38.277414,-89.795894,39.90,189.90,357.70,0.11,1.57,-43.94,10.23
76,2026-04-15T14:01:16Z,38.277510,-89.795909,39.73,189.73,357.70,1.01,1.78,-45.01,9.35
77,2026-04-15T14:01:17Z,38.277601,-89.795898,38.83,188.83,357.70,0.21,-0.86,-43.61,10.07
78,2026-04-15T14:01:18Z,38.277704,-89.795918,39.96,189.96,357.70,-0.77,-1.96,-43.62,9.84
79,2026-04-15T14:01:19Z,38.277795,-89.795910,39.45,189.45,357.70,2.97,0.28,-45.90,10.83
80,2026-04-15T14:01:20Z,38.277868,-89.795919,39.54,189.54,357.70,1.63,-2.26,-42.99,9.99
81,2026-04-15T14:01:21Z,38.277979,-89.795943,39.29,189.29,357.70,-1.55,-0.40,-47.58,9.89
82,2026-04-15T14:01:22Z,38.278053,-89.795912,39.44,189.44,357.70,-2.23,0.96,-45.23,9.89
83,2026-04-15T14:01:23Z,38.278162,-89.795935,39.81,189.81,357.70,-0.76,-2.01,-44.70,10.22
84,2026-04-15T14:01:24Z,38.278233,-89.795940,40.19,190.19,357.70,0.63,2.61,-46.11,9.80
85,2026-04-15T14:01:25Z,38.278340,-89.795950,39.62,189.62,357.70,0.23,2.06,-44.18,10.97
86,2026-04-15T14:01:26Z,38.278399,-89.795950,39.74,189.74,357.70,-2.66,0.15,-44.41,9.46
87,2026-04-15T14:01:27Z,38.278508,-89.795960,39.60,189.60,357.70,-0.83,-1.55,-45.20,9.61
88,2026-04-15T14:01:28Z,38.278594,-89.795971,39.88,189.88,357.70,-0.01,0.76,-44.82,9.70
89,2026-04-15T14:01:29Z,38.278688,-89.795984,39.81,189.81,357.70,0.96,-2.40,-44.84,10.11
90,2026-04-15T14:01:30Z,38.278785,-89.795972,39.95,189.95,357.70,0.37,1.01,-44.93,10.18
91,2026-04-15T14:01:31Z,38.278865,-89.795984,39.91,189.91,357.70,-0.31,-0.25,-45.49,10.50
92,2026-04-15T14:01:32Z,38.278961,-89.795989,40.46,190.46,357.70,-1.59,0.31,-44.87,9.63
93,2026-04-15T14:01:33Z,38.279046,-89.795972,39.79,189.79,357.70,-1.36,1.89,-44.37,10.18
94,2026-04-15T14:01:34Z,38.279138,-89.795986,39.61,189.61,357.70,0.75,-0.03,-44.88,9.87
95,2026-04-15T14:01:35Z,38.279211,-89.795991,39.65,189.65,357.70,-0.23,-2.78,-44.30,9.57
96,2026-04-15T14:01:36Z,38.279321,-89.795998,39.50,189.50,357.70,-0.23,-3.64,-44.82,9.62
97,2026-04-15T14:01:37Z,38.279409,-89.796006,39.75,189.75,357.70,0.53,1.64,-44.98,10.07
98,2026-04-15T14:01:38Z,38.279487,-89.796012,40.09,190.09,357.70,-0.48,-1.58,-45.87,10.62
99,2026-04-15T14:01:39Z,38.279564,-89.796008,39.32,189.32,357.70,-2.96,-1.68,-44.43,9.51
100,2026-04-15T14:01:40Z,38.279661,-89.796036,40.09,190.09,357.70,0.65,1.11,-45.01,9.86
101,2026-04-15T14:01:41Z,38.279751,-89.796022,40.25,190.25,357.70,-2.16,1.65,-45.42,9.77
102,2026-04-15T14:01:42Z,38.279849,-89.796025,40.52,190.52,357.70,-0.50,1.02,-42.85,10.11
103,2026-04-15T14:01:43Z,38.279955,-89.796022,39.44,189.44,357.70,-1.80,-0.56,-45.70,11.50
104,2026-04-15T14:01:44Z,38.280047,-89.796030,39.29,189.29,357.70,0.82,-0.48,-46.22,10.11
105,2026-04-15T14:01:45Z,38.280115,-89.796044,40.01,190.01,357.70,1.10,-1.42,-46.73,9.79
106,2026-04-15T14:01:46Z,38.280205,-89.796028,39.71,189.71,357.70,0.74,-1.75,-45.83,10.94
107,2026-04-15T14:01:47Z,38.280304,-89.796062,41.19,191.19,357.70,1.02,2.19,-45.11,9.60
108,2026-04-15T14:01:48Z,38.280382,-89.796056,40.18,190.18,357.70,0.09,-2.10,-44.96,10.35
109,2026-04-15T14:01:49Z,38.280475,-89.796082,39.65,189.65,357.70,0.88,2.92,-43.14,9.43
110,2026-04-15T14:01:50Z,38.280566,-89.796067,40.34,190.34,357.70,-0.63,-0.21,-42.79,10.42
111,2026-04-15T14:01:51Z,38.280660,-89.796072,40.06,190.06,357.70,-1.53,-0.37,-46.17,10.23
112,2026-04-15T14:01:52Z,38.280748,-89.796050,40.37,190.37,357.70,-1.40,-0.47,-43.95,9.96
113,2026-04-15T14:01:53Z,38.280836,-89.796059,39.31,189.31,357.70,2.61,-3.01,-43.81,9.88
114,2026-04-15T14:01:54Z,38.280914,-89.796082,39.91,189.91,357.70,-4.73,-2.88,-45.57,10.33
115,2026-04-15T14:01:55Z,38.281021,-89.796095,39.89,189.89,357.70,-0.60,-1.27,-44.76,9.53
116,2026-04-15T14:01:56Z,38.281116,-89.796073,39.67,189.67,357.70,0.07,-0.44,-45.05,9.87
117,2026-04-15T14:01:57Z,38.281186,-89.796090,39.54,189.54,357.70,-2.38,1.74,-45.14,9.62
118,2026-04-15T14:01:58Z,38.281300,-89.796096,39.15,189.15,357.70,1.14,-1.15,-46.09,9.57
119,2026-04-15T14:01:59Z,38.281378,-89.796106,39.49,189.49,357.70,-0.72,-3.88,-44.50,9.87
120,2026-04-15T14:02:00Z,38.281462,-89.796093,39.42,189.42,357.70,1.78,-2.38,-45.64,9.37
121,2026-04-15T14:02:01Z,38.281565,-89.796117,39.17,189.17,357.70,-0.29,1.93,-44.41,10.08
122,2026-04-15T14:02:02Z,38.281677,-89.796136,39.99,189.99,357.70,1.73,1.23,-44.25,9.57
123,2026-04-15T14:02:03Z,38.281732,-89.796131,38.99,188.99,357.70,0.76,-0.39,-44.07,10.68
124,2026-04-15T14:02:04Z,38.281836,-89.796115,39.19,189.19,357.70,0.29,0.53,-44.04,9.71
125,2026-04-15T14:02:05Z,38.281910,-89.796130,41.10,191.10,357.70,1.31,-0.03,-44.23,10.28
126,2026-04-15T14:02:06Z,38.282025,-89.796135,40.61,190.61,357.70,0.89,1.36,-45.75,9.65
127,2026-04-15T14:02:07Z,38.282109,-89.796148,39.60,189.60,357.70,2.90,0.46,-44.06,10.00
128,2026-04-15T14:02:08Z,38.282182,-89.796144,39.41,189.41,357.70,1.25,-0.06,-43.55,9.77
129,2026-04-15T14:02:09Z,38.282277,-89.796152,40.64,190.64,357.70,-2.28,1.95,-44.59,9.74
130,2026-04-15T14:02:10Z,38.282349,-89.796154,39.80,189.80,357.70,-1.09,-0.87,-45.91,10.70
131,2026-04-15T14:02:11Z,38.282449,-89.796167,39.28,189.28,357.70,-2.41,-2.25,-46.56,9.59
132,2026-04-15T14:02:12Z,38.282543,-89.796171,39.39,189.39,357.70,-0.07,-0.65,-45.46,10.19
133,2026-04-15T14:02:13Z,38.282652,-89.796165,40.24,190.24,357.70,-0.98,-3.26,-45.43,8.97
134,2026-04-15T14:02:14Z,38.282731,-89.796180,40.26,190.26,357.70,0.86,-2.33,-45.26,9.59
135,2026-04-15T14:02:15Z,38.282821,-89.796171,39.94,189.94,357.70,-0.62,-0.68,-47.76,10.78
136,2026-04-15T14:02:16Z,38.282923,-89.796186,39.41,189.41,357.70,1.85,0.16,-46.43,10.53
137,2026-04-15T14:02:17Z,38.283001,-89.796194,39.41,189.41,357.70,-3.20,0.85,-44.54,10.42
138,2026-04-15T14:02:18Z,38.283106,-89.796187,38.97,188.97,357.70,0.10,0.53,-44.02,9.67
139,2026-04-15T14:02:19Z,38.283159,-89.796199,40.48,190.48,357.70,2.79,-0.59,-43.90,10.62
140,2026-04-15T14:02:20Z,38.283282,-89.796187,40.36,190.36,357.70,-1.18,-2.17,-44.02,10.33
141,2026-04-15T14:02:21Z,38.283354,-89.796205,39.71,189.71,357.70,0.35,-1.53,-44.93,9.84
142,2026-04-15T14:02:22Z,38.283449,-89.796210,39.63,189.63,357.70,2.81,-0.90,-43.77,10.31
143,2026-04-15T14:02:23Z,38.283545,-89.796244,39.62,189.62,357.70,1.17,0.28,-44.53,9.75
144,2026-04-15T14:02:24Z,38.283632,-89.796229,39.63,189.63,357.70,-0.26,-0.18,-44.83,9.51
145,2026-04-15T14:02:25Z,38.283710,-89.796213,40.46,190.46,357.70,1.07,0.28,-44.33,10.62
146,2026-04-15T14:02:26Z,38.283812,-89.796235,40.64,190.64,357.70,2.97,0.05,-44.68,10.69
147,2026-04-15T14:02:27Z,38.283900,-89.796233,40.31,190.31,357.70,-0.29,2.64,-44.84,9.95
148,2026-04-15T14:02:28Z,38.283986,-89.796227,40.08,190.08,357.70,-0.10,-1.83,-45.03,10.12
149,2026-04-15T14:02:29Z,38.284065,-89.796239,39.41,189.41,357.70,1.12,0.42,-45.10,10.37
150,2026-04-15T14:02:30Z,38.284169,-89.796269,39.45,189.45,357.70,0.52,-0.12,-46.00,9.94
151,2026-04-15T14:02:31Z,38.284257,-89.796256,39.47,189.47,357.70,-0.31,1.79,-44.33,10.13
152,2026-04-15T14:02:32Z,38.284352,-89.796252,39.58,189.58,357.70,-2.21,4.32,-46.08,9.63
153,2026-04-15T14:02:33Z,38.284433,-89.796264,39.86,189.86,357.70,-2.80,-1.50,-46.39,9.77
154,2026-04-15T14:02:34Z,38.284524,-89.796273,39.66,189.66,357.70,-0.87,1.40,-45.39,10.09
155,2026-04-15T14:02:35Z,38.284617,-89.796285,40.33,190.33,357.70,0.61,0.50,-45.17,9.84
156,2026-04-15T14:02:36Z,38.284707,-89.796278,40.67,190.67,357.70,0.72,-1.77,-46.10,10.37
157,2026-04-15T14:02:37Z,38.284789,-89.796281,40.22,190.22,357.70,1.77,0.01,-47.01,9.64
158,2026-04-15T14:02:38Z,38.284880,-89.796313,39.62,189.62,357.70,-0.92,-0.49,-45.39,9.78
159,2026-04-15T14:02:39Z,38.284969,-89.796271,40.61,190.61,357.70,1.88,-2.43,-45.81,9.54
160,2026-04-15T14:02:40Z,38.285078,-89.796318,40.29,190.29,357.70,-0.22,-0.27,-43.30,9.50
161,2026-04-15T14:02:41Z,38.285147,-89.796298,40.31,190.31,357.70,-1.23,-0.09,-44.91,9.90
162,2026-04-15T14:02:42Z,38.285252,-89.796312,39.78,189.78,357.70,-0.25,-0.28,-45.02,10.13
163,2026-04-15T14:02:43Z,38.285327,-89.796315,40.22,190.22,357.70,1.75,0.33,-46.28,9.56
164,2026-04-15T14:02:44Z,38.285426,-89.796309,40.38,190.38,357.70,-0.55,-1.06,-45.61,10.46
165,2026-04-15T14:02:45Z,38.285505,-89.796324,40.14,190.14,357.70,-0.74,-1.11,-44.65,10.01
166,2026-04-15T14:02:46Z,38.285599,-89.796332,39.92,189.92,357.70,-1.61,1.24,-44.15,9.89
167,2026-04-15T14:02:47Z,38.285694,-89.796323,40.26,190.26,357.70,1.34,2.48,-44.92,9.99
168,2026-04-15T14:02:48Z,38.285787,-89.796319,39.83,189.83,357.70,1.36,-2.35,-43.21,9.55
169,2026-04-15T14:02:49Z,38.285881,-89.796332,40.03,190.03,357.70,-1.42,-1.74,-45.60,10.70
170,2026-04-15T14:02:50Z,38.285960,-89.796350,40.08,190.08,357.70,-1.22,2.40,-46.39,10.05
171,2026-04-15T14:02:51Z,38.286041,-89.796339,39.90,189.90,357.70,-0.93,-1.55,-45.65,10.17
172,2026-04-15T14:02:52Z,38.286136,-89.796342,39.76,189.76,357.70,0.88,1.56,-44.10,10.30
173,2026-04-15T14:02:53Z,38.286239,-89.796344,39.74,189.74,357.70,-2.75,0.44,-45.67,9.90
174,2026-04-15T14:02:54Z,38.286326,-89.796351,39.32,189.32,357.70,-0.52,-0.78,-44.83,9.59
175,2026-04-15T14:02:55Z,38.286402,-89.796361,39.16,189.16,357.70,1.07,-1.96,-45.56,9.14
176,2026-04-15T14:02:56Z,38.286489,-89.796382,39.80,189.80,357.70,1.47,0.67,-45.26,9.84
177,2026-04-15T14:02:57Z,38.286599,-89.796358,40.21,190.21,357.70,1.53,2.65,-44.34,9.84
178,2026-04-15T14:02:58Z,38.286697,-89.796365,40.42,190.42,357.70,-1.67,-0.07,-46.67,9.56
179,2026-04-15T14:02:59Z,38.286766,-89.796370,39.67,189.67,357.70,-2.03,-0.74,-43.98,10.21
180,2026-04-15T14:03:00Z,38.286863,-89.796381,40.85,190.85,357.70,-1.32,1.98,-45.62,10.52
181,2026-04-15T14:03:01Z,38.286951,-89.796389,40.54,190.54,357.70,0.68,0.79,-44.19,9.55
182,2026-04-15T14:03:02Z,38.287039,-89.796382,39.64,189.64,357.70,0.53,-2.10,-44.59,10.46
183,2026-04-15T14:03:03Z,38.287132,-89.796402,39.63,189.63,357.70,-2.16,2.54,-46.13,9.90
184,2026-04-15T14:03:04Z,38.287215,-89.796390,40.29,190.29,357.70,2.28,-0.47,-46.05,10.29
185,2026-04-15T14:03:05Z,38.287318,-89.796399,39.84,189.84,357.70,1.86,0.86,-46.37,9.49
186,2026-04-15T14:03:06Z,38.287407,-89.796429,39.76,189.76,357.70,-0.96,-1.25,-45.61,9.55
187,2026-04-15T14:03:07Z,38.287497,-89.796413,40.31,190.31,357.70,-0.56,0.12,-44.46,10.44
188,2026-04-15T14:03:08Z,38.287596,-89.796411,40.69,190.69,357.70,1.59,-2.68,-44.12,10.41
189,2026-04-15T14:03:09Z,38.287672,-89.796425,39.74,189.74,357.70,0.62,1.26,-46.50,9.83
190,2026-04-15T14:03:10Z,38.287762,-89.796437,39.52,189.52,357.70,-0.49,-0.99,-45.77,10.16
191,2026-04-15T14:03:11Z,38.287852,-89.796435,39.45,189.45,357.70,-0.27,0.61,-46.05,9.66
192,2026-04-15T14:03:12Z,38.287944,-89.796449,41.36,191.36,357.70,-1.19,0.29,-45.90,9.62
193,2026-04-15T14:03:13Z,38.288037,-89.796424,39.81,189.81,357.70,-0.78,-0.00,-43.57,10.07
194,2026-04-15T14:03:14Z,38.288127,-89.796459,40.77,190.77,357.70,0.73,-0.99,-44.93,10.46
195,2026-04-15T14:03:15Z,38.288202,-89.796448,39.84,189.84,357.70,1.39,0.29,-43.92,9.11
196,2026-04-15T14:03:16Z,38.288298,-89.796456,40.56,190.56,357.70,0.43,4.82,-45.17,10.16
197,2026-04-15T14:03:17Z,38.288390,-89.796443,39.60,189.60,357.70,-2.15,0.80,-44.37,9.58
198,2026-04-15T14:03:18Z,38.288485,-89.796483,40.50,190.50,357.70,-0.15,0.05,-44.32,10.48
199,2026-04-15T14:03:19Z,38.288572,-89.796465,39.46,189.46,357.70,-1.82,0.95,-44.47,9.93
200,2026-04-15T14:03:20Z,38.288658,-89.796473,39.22,189.22,357.70,-0.70,0.19,-43.88,10.34
201,2026-04-15T14:03:21Z,38.288742,-89.796468,40.06,190.06,357.70,0.83,-1.87,-44.41,10.01
202,2026-04-15T14:03:22Z,38.288839,-89.796474,39.89,189.89,357.70,0.55,-0.09,-46.17,9.85
203,2026-04-15T14:03:23Z,38.288926,-89.796476,39.95,189.95,357.70,1.07,-2.78,-47.12,9.65
204,2026-04-15T14:03:24Z,38.289018,-89.796493,40.11,190.11,357.70,-0.23,-2.10,-44.78,9.64
205,2026-04-15T14:03:25Z,38.289093,-89.796501,40.13,190.13,357.70,-0.78,1.18,-43.45,9.30
206,2026-04-15T14:03:26Z,38.289184,-89.796500,39.38,189.38,357.70,2.39,1.00,-45.80,9.46
207,2026-04-15T14:03:27Z,38.289289,-89.796502,40.09,190.09,357.70,0.91,-4.49,-45.29,10.90
208,2026-04-15T14:03:28Z,38.289371,-89.796516,40.01,190.01,357.70,-1.63,2.05,-44.40,9.74
209,2026-04-15T14:03:29Z,38.289461,-89.796510,40.34,190.34,357.70,-1.58,1.17,-45.61,10.51
210,2026-04-15T14:03:30Z,38.289567,-89.796525,38.86,188.86,357.70,-2.68,-0.33,-45.06,10.01
211,2026-04-15T14:03:31Z,38.289643,-89.796544,39.44,189.44,357.70,-0.37,1.93,-44.29,9.66
212,2026-04-15T14:03:32Z,38.289733,-89.796517,39.32,189.32,357.70,-0.26,0.35,-44.36,10.27
213,2026-04-15T14:03:33Z,38.289821,-89.796527,40.00,190.00,357.70,-0.46,1.90,-44.35,10.96
214,2026-04-15T14:03:34Z,38.289906,-89.796526,39.47,189.47,357.70,1.28,1.60,-44.95,9.11
215,2026-04-15T14:03:35Z,38.290004,-89.796528,40.36,190.36,357.70,1.10,-1.86,-45.56,9.74
216,2026-04-15T14:03:36Z,38.290087,-89.796576,39.41,189.41,357.70,-1.65,-0.83,-46.16,10.49
217,2026-04-15T14:03:37Z,38.290194,-89.796555,40.25,190.25,357.70,-1.76,-1.46,-44.16,9.96
218,2026-04-15T14:03:38Z,38.290275,-89.796551,38.42,188.42,357.70,-0.74,3.26,-45.51,10.44
219,2026-04-15T14:03:39Z,38.290366,-89.796557,39.56,189.56,357.70,-0.97,1.93,-44.21,10.35
220,2026-04-15T14:03:40Z,38.290460,-89.796577,39.89,189.89,357.70,-3.05,-0.83,-44.06,10.12
221,2026-04-15T14:03:41Z,38.290534,-89.796559,39.69,189.69,357.70,-1.72,0.73,-44.54,10.13
222,2026-04-15T14:03:42Z,38.290646,-89.796563,40.63,190.63,357.70,-1.84,1.99,-46.30,10.08
223,2026-04-15T14:03:43Z,38.290721,-89.796574,40.22,190.22,357.70,-0.01,-2.54,-45.28,10.64
224,2026-04-15T14:03:44Z,38.290817,-89.796591,40.71,190.71,357.70,-2.15,0.70,-46.15,9.90
225,2026-04-15T14:03:45Z,38.290920,-89.796589,39.30,189.30,357.70,3.55,-3.01,-44.10,10.43
226,2026-04-15T14:03:46Z,38.290999,-89.796595,40.17,190.17,357.70,-1.04,2.12,-46.35,10.20
227,2026-04-15T14:03:47Z,38.291102,-89.796584,39.41,189.41,357.70,2.13,-0.74,-45.16,10.00
228,2026-04-15T14:03:48Z,38.291171,-89.796592,39.70,189.70,357.70,0.81,-0.31,-45.87,10.00
229,2026-04-15T14:03:49Z,38.291252,-89.796628,39.41,189.41,357.70,-1.09,0.45,-44.95,9.31
230,2026-04-15T14:03:50Z,38.291347,-89.796627,39.50,189.50,357.70,-1.85,1.07,-46.40,9.44
231,2026-04-15T14:03:51Z,38.291444,-89.796627,41.21,191.21,357.70,0.29,-0.50,-45.77,9.28
232,2026-04-15T14:03:52Z,38.291537,-89.796622,39.47,189.47,357.70,0.58,1.96,-45.61,10.17
233,2026-04-15T14:03:53Z,38.291637,-89.796631,39.01,189.01,357.70,-0.12,-1.32,-44.07,10.21
234,2026-04-15T14:03:54Z,38.291709,-89.796622,39.96,189.96,357.70,1.02,0.71,-46.03,10.30
235,2026-04-15T14:03:55Z,38.291812,-89.796638,41.00,191.00,357.70,1.13,-1.15,-45.41,10.19
236,2026-04-15T14:03:56Z,38.291894,-89.796656,39.41,189.41,357.70,-0.12,0.30,-43.88,9.96
237,2026-04-15T14:03:57Z,38.291980,-89.796639,39.93,189.93,357.70,0.39,-3.10,-44.93,9.92
